"EbayEnterprise_Inventory_Quote_Insufficient_Stock_Message", "Some of the products cannot be ordered in the requested quantity."
"EbayEnterprise_Inventory_Item_Insufficient_Stock_Message", "The requested quantity for ""%s"" is not available. %d currently available."
"EbayEnterprise_Inventory_Insufficient_Stock_Exception_Message", "The requested quantity for ""%s"" is not available. %d currently available."
"EbayEnterprise_Inventory_Quote_Out_Of_Stock_Message", "Some of the products are currently out of stock."
"EbayEnterprise_Inventory_Item_Out_Of_Stock_Message", "This product is currently out of stock."
"EbayEnterprise_Inventory_Out_Of_Stock_Exception_Message", "This product is currently out of stock."
"EbayEnterprise_Inventory_Quantity_Request_Failed", "Unable to retrieve inventory quantity."
"EbayEnterprise_Inventory_Details_Request_Failed", "Unable to retrieve inventory details."
